cluster_pre,0,1,2,3
0,0.8149606299212598,0.03937007874015748,0.14435695538057744,0.0013123359580052493
1,0.13043478260869565,0.782608695652174,0.043478260869565216,0.043478260869565216
2,0.10499359795134443,0.2087067861715749,0.6696542893725992,0.016645326504481434
3,0.058823529411764705,0.7058823529411765,0.058823529411764705,0.17647058823529413
