trading_intensity_assets,in_trade,rt_rwa,in_roa,in_roe
0.33778143923426757,0.17032343800000002,0.5771350363672,0.0028798168,0.0299083638
0.31170438697323055,0.1623149875,0.566368618915,0.005081495,0.054227884999999997
0.1370721554895646,0.0044769847389558234,0.505415394448996,0.004499892168674699,0.057614382730923695
0.14811094171713873,-0.00126937,0.5314584506941509,0.004623177924528302,0.06597716471698113
0.47750453715979974,0.006677292231075697,0.4901053847591634,0.0059250003984063744,0.0704940139442231
0.46828357302477536,0.002155822811059908,0.4912825908191244,0.005345170506912442,0.0844128198156682
0.17626903223408497,0.009969194781144781,0.7572168882646464,0.0052852516835016836,0.05235749814814815
0.16596750420120998,0.008098885779816514,0.7676296604253823,0.004379431804281345,0.04867979648318043
0.2738884223467146,0.006200632222222222,0.640389110952,0.010319545000000001,0.11614126444444445
0.26907928088594313,0.003624320481927711,0.6074846017441766,0.010520260040160644,0.1379057652610442
0.31431523724448274,0.003976939723320159,0.5804209272652174,0.005605875395256916,0.06516644377470356
0.3059601815795447,-0.0021800414285714285,0.5782435970176923,0.0051490883516483515,0.07119313989010989
0.17883077136974507,0.005116242307692308,1.329287969328846,0.007949653846153846,0.05986062884615384
0.1944223740186432,0.0031166499999999995,1.2551849241935484,0.008581611290322581,0.07453677096774193
0.2231330019080524,0.028490408695652177,0.6745985265760869,-0.01869931086956522,-0.20939703478260868
0.29634890348503684,-0.07724636315789475,0.6350283346263158,-0.015503642105263157,-0.13337265263157896
0.01763229427092653,0.0,0.58952249935,0.1100877,0.486343
0.33961891808408107,0.0,0.599234113,0.07630329999999999,0.2792599
0.3347992745698323,0.17116775,0.61568025755,-0.0328547,-1.5492431
