k,silhouette,ARI_median_vs_seed0,ARI_min_vs_seed0,ARI_mean_vs_seed0
2,0.22522470852478815,1.0,0.9817797187479415,0.992978185665332
3,0.2532212784199258,0.9932082677614048,0.9848354477097717,0.9935352553900135
4,0.2682311585465025,0.9798018024547818,0.9783730353956829,0.9823084394314692
5,0.23454474328951253,0.7969736970292681,0.7860135529093671,0.8449683309307131
6,0.24248502201575955,0.8938450693190232,0.8923087375616037,0.9152776666053697
7,0.22022432668753558,0.8773619268310863,0.780137003338736,0.8907464292506759
8,0.22217217265111694,0.8981860286432717,0.720534065894313,0.8863912497938115
