cluster,post,pre
0,0.14757969303423848,0.012618296529968454
1,0.14698937426210154,0.167192429022082
2,0.14817001180637543,0.13690851735015772
3,0.17532467532467533,0.20630914826498423
4,0.053128689492325853,0.15709779179810726
5,0.2987012987012987,0.2870662460567823
6,0.015348288075560802,0.019558359621451103
7,0.01357733175914994,0.011987381703470032
8,0.0005903187721369539,0.0012618296529968455
9,0.0005903187721369539,0.0
